Band,a1,a2,a3,a4
Kp,0.4519,1.087,-1.0922,0.3615
C,0.4813,1.0045,-1.0233,0.3412
S1,1.0596,-1.6397,1.3946,-0.4591
S2,0.7389,-0.8623,0.6346,-0.1929
S3,0.7939,-1.0739,0.8405,-0.2619
S4,0.7027,-0.9343,0.6974,-0.2051
u,0.366,0.4809,0.1426,-0.1278
b,0.2061,1.0029,-1.8,0.6139
v,0.3745,1.8623,-0.7563,0.2351
y,0.2832,1.6895,-1.7215,0.5923
U,0.512,0.1549,0.3633,-0.1891
B,0.3697,1.1538,-0.9802,0.3145
V,0.3774,1.3332,-1.3302,0.4498
R,0.3733,1.3438,-1.376,0.4607
I,0.7903,0.4086,-0.7418,0.3016
J,1.4238,-1.562,1.067,-0.2945
H,1.4873,-2.1762,1.8167,-0.5939
K,1.2855,-1.9058,1.5984,-0.524
"u,",0.5048,0.1645,0.3611,-0.1886
"g,",0.3757,1.1869,-1.0532,0.3367
"r,",0.293,1.5935,-1.6115,0.541
"i,",0.6249,0.6711,-0.8129,0.2839
"z,",1.1536,-0.4271,-0.1455,0.1521
